Compound,Sampling Period Concentration (Âµg/m3)
Acenaphthene,0.25569552089068603
Acenaphthylene,8.173124685613
Anthracene,0.40409024283617345
Benz(a)anthracene,0.06830126575815441
Benzo(a)pyrene,0.01604093182210403
Benzo(b)fluoranthene,0.017422447481423995
"Benzo(g,h,i)perylene",0.008979851785579768
Benzo(k)fluoranthene,0.04030894372612391
Chrysene,0.053282280770019196
"Dibenz(a,h)anthracene",0.0
Fluoranthene,0.35830172200999033
Fluorene,1.8789054794020947
"Indeno(1,2,3-cd)pyrene",0.012382473687238198
Naphthalene (naphthene),100.4518117784838
Phenanthrene,1.5775500440666432
Pyrene,0.2026644115119008
